Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
OTVA.SEA2AA1,1971.06,369.13577628,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,
OTVA.SEA2AA1,1972.06,376.3982847725,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,
OTVA.SEA2AA1,1973.06,415.5907874775,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,
OTVA.SEA2AA1,1974.06,375.020912475,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,
OTVA.SEA2AA1,1975.06,400.8153391725,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,
OTVA.SEA2AA1,1976.06,474.44214937,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,
OTVA.SEA2AA1,1977.06,554.9558210625,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,
OTVA.SEA2AA1,1978.06,483.83332414,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,
OTVA.SEA2AA1,1979.06,527.157943745,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,
OTVA.SEA2AA1,1980.06,464.80054327,FINAL,Index,0,Overseas Trade Indexes - Volumes and Values - OTV,Export volume indexes and values - analytical,Volume,BEEF AND VEAL,June 2002 Quarter Base (=1000),,